Year,ICD10 Code,ICD10 Diagnosis,Diagnosis Type,Metric,Sex,Value,Method,16 and Over,16-24,25-34,35-49,50-59,60 and Over,All Pharmacotherapy Prescriptions,Nicotine Replacement Therapy (NRT) Prescriptions,Bupropion (Zyban) Prescriptions,Varenicline (Champix) Prescriptions,Net Ingredient Cost of All Pharmacotherapies,Net Ingredient Cost of Nicotine Replacement Therapies (NRT),Net Ingredient Cost of Bupropion (Zyban),Net Ingredient Cost of Varenicline (Champix),"Tobacco Price
Index","Retail Prices
Index",Tobacco Price Index Relative to Retail Price Index,Real Households' Disposable Income,Affordability of Tobacco Index,Household Expenditure on Tobacco,Household Expenditure Total,Expenditure on Tobacco as a Percentage of Expenditure,mortality_target
2014,All codes,All deaths,All deaths,Number of observed deaths,,459087,,,,,,,,,,,,,,,,,,,,,,,,0
2014,C33-C34 & C00-C14 & C15 & C32 & C53 & C67 & C64-C66 & C68 & C16 & C25 & C80 & C92 & J40-J43 & J44 & J10-J18 & I00-I09 & I26-I51 & I20-I25 & I72-I78 & I60-I69 & I71 & I70 & K25-K27 & K50 & K05 & H25 & S72.0-S72.2 & O03,All deaths which can be caused by smoking,All deaths which can be caused by smoking,Number of observed deaths,,235820,,,,,,,,,,,,,,,,,,,,,,,,0
2014,C00-D48,All cancers,All cancers,Number of observed deaths,,136312,,,,,,,,,,,,,,,,,,,,,,,,0
2014,J00-J99,All respiratory diseases,All respiratory diseases,Number of observed deaths,,61744,,,,,,,,,,,,,,,,,,,,,,,,0
2014,I00-I99,All circulatory diseases,All circulatory diseases,Number of observed deaths,,126101,,,,,,,,,,,,,,,,,,,,,,,,0
2014,K00-K93,All diseases of the digestive system,All diseases of the digestive system,Number of observed deaths,,22335,,,,,,,,,,,,,,,,,,,,,,,,0
2014,C33-C34,"Trachea, Lung, Bronchus",Cancers which can be caused by smoking,Number of observed deaths,,28826,,,,,,,,,,,,,,,,,,,,,,,,0
2014,C00-C14,Upper Respiratory Sites,Cancers which can be caused by smoking,Number of observed deaths,,2197,,,,,,,,,,,,,,,,,,,,,,,,0
2014,C32,Larynx,Cancers which can be caused by smoking,Number of observed deaths,,653,,,,,,,,,,,,,,,,,,,,,,,,0
2014,C15,Oesophagus,Cancers which can be caused by smoking,Number of observed deaths,,6315,,,,,,,,,,,,,,,,,,,,,,,,0
